n,m,time(ms),heap(bytes),comparisons
1,1,2.55,9561,1 
2,1,4.33,8421,2 
2,2,4.48,8433,1 
3,1,4.23,,4 
3,2,5.32,8457,3 
3,3,4.32,,1 
4,1,4.30,,12 
4,2,4.17,,6 
4,3,4.33,8545,2 
4,4,4.68,8673,1 
5,1,4.30,8953,24 
5,2,3.56,,9 
5,3,3.97,8617,4 
5,4,3.33,8721,7 
5,5,3.78,,1 
