n,m,time(ms),heap(bytes),comparisons
26,1,2871.01,201334874,83886008 
26,2,2828.89,138420334,83887046 
26,3,2860.15,134234262,82842154 
26,4,2880.11,134226158,83884467 
26,5,3172.20,134226318,83879858 
26,6,3028.12,134226638,83866470 
26,7,3033.75,134227278,83888097 
26,8,3017.22,134228558,83864699 
26,9,2872.15,134231118,83819790 
26,10,3082.09,134236238,83886467 
27,1,5915.98,335552602,167767356 
27,2,6019.43,276832366,167766968 
27,3,5883.96,268476566,167769921 
27,4,5813.25,268443886,167636215 
27,5,5998.35,268444046,165669957 
27,6,6256.48,268444366,165682326 
27,7,6510.94,268445006,167763607 
27,8,6306.60,268446286,167771888 
27,9,5954.16,268448846,166721117 
27,10,5896.66,268453966,166684617 
