m    n        time    heap      comparisons
64   1003520  168.81  10133194  64221248   
64   1013760  173.85  10215114  64876608   
64   10240    5.06    122570    651328     
64   102400   20.21   1089226   6549568    
64   1024000  171.22  10297034  65531968   
64   1034240  169.25  10378954  66187328   
64   1044480  177.67  10460874  66842688   
64   112640   22.91   1171146   7204928    
64   122880   23.74   1253066   7860288    
64   133120   30.08   1597130   8515648    
64   143360   30.22   1679050   9171008    
64   153600   29.27   1760970   9826368    
64   163840   31.20   1842890   10481728   
64   174080   31.32   1924810   11137088   
64   184320   35.31   2006730   11792448   
64   194560   34.79   2088650   12447808   
64   20480    7.28    237258    1306688    
64   204800   36.55   2170570   13103168   
64   215040   39.09   2252490   13758528   
64   225280   43.18   2334410   14413888   
64   235520   44.66   2416330   15069248   
64   245760   47.68   2498250   15724608   
64   256000   50.29   2580170   16379968   
64   266240   49.95   3186378   17035328   
64   276480   51.26   3268298   17690688   
64   286720   53.20   3350218   18346048   
64   296960   57.17   3432138   19001408   
64   30720    10.17   319178    1962048    
64   307200   57.73   3514058   19656768   
64   317440   58.33   3595978   20312128   
64   327680   61.94   3677898   20967488   
64   337920   62.49   3759818   21622848   
64   348160   66.44   3841738   22278208   
64   358400   63.23   3923658   22933568   
64   368640   68.59   4005578   23588928   
64   378880   67.42   4087498   24244288   
64   389120   66.49   4169418   24899648   
64   399360   75.67   4251338   25555008   
64   40960    11.39   466634    2617408    
64   409600   75.48   4333258   26210368   
64   419840   74.55   4415178   26865728   
64   430080   78.33   4497098   27521088   
64   440320   85.38   4579018   28176448   
64   450560   82.31   4660938   28831808   
64   460800   87.52   4742858   29487168   
64   471040   85.50   4824778   30142528   
64   481280   84.89   4906698   30797888   
64   491520   86.61   4988618   31453248   
64   501760   91.69   5070538   32108608   
64   51200    13.86   548554    3272768    
64   512000   90.50   5152458   32763968   
64   522240   94.74   5234378   33419328   
64   532480   98.86   6364874   34074688   
64   542720   97.49   6446794   34730048   
64   552960   100.30  6528714   35385408   
64   563200   95.80   6610634   36040768   
64   573440   102.01  6692554   36696128   
64   583680   102.81  6774474   37351488   
64   593920   105.83  6856394   38006848   
64   604160   107.99  6938314   38662208   
64   61440    15.35   630474    3928128    
64   614400   100.53  7020234   39317568   
64   624640   109.37  7102154   39972928   
64   634880   107.49  7184074   40628288   
64   645120   116.58  7265994   41283648   
64   655360   111.66  7347914   41939008   
64   665600   112.03  7429834   42594368   
64   675840   118.01  7511754   43249728   
64   686080   120.26  7593674   43905088   
64   696320   119.07  7675594   44560448   
64   706560   120.99  7757514   45215808   
64   71680    17.21   843466    4583488    
64   716800   127.12  7839434   45871168   
64   727040   128.92  7921354   46526528   
64   737280   125.08  8003274   47181888   
64   747520   128.97  8085194   47837248   
64   757760   132.48  8167114   48492608   
64   768000   135.26  8249034   49147968   
64   778240   132.13  8330954   49803328   
64   788480   136.71  8412874   50458688   
64   798720   135.47  8494794   51114048   
64   808960   137.25  8576714   51769408   
64   81920    18.31   925386    5238848    
64   819200   142.28  8658634   52424768   
64   829440   155.33  8740554   53080128   
64   839680   143.12  8822474   53735488   
64   849920   147.91  8904394   54390848   
64   860160   152.11  8986314   55046208   
64   870400   146.00  9068234   55701568   
64   880640   153.20  9150154   56356928   
64   890880   151.38  9232074   57012288   
64   901120   149.25  9313994   57667648   
64   911360   144.65  9395914   58323008   
64   92160    18.96   1007306   5894208    
64   921600   148.65  9477834   58978368   
64   931840   156.10  9559754   59633728   
64   942080   161.50  9641674   60289088   
64   952320   162.94  9723594   60944448   
64   962560   159.04  9805514   61599808   
64   972800   153.72  9887434   62255168   
64   983040   167.32  9969354   62910528   
64   993280   166.93  10051274  63565888   
